title,release_date,genres
F1 Race Stars - China Track,2013-01-07,['Racing']
F1 Race Stars - Canada Track,2013-01-07,['Racing']
Primal Fears,2013-01-08,"['Action', 'Indie']"
F1 Race Stars - India Track,2013-01-07,['Racing']
Worms Ultimate Mayhem - Multiplayer Pack DLC,2013-01-09,['Strategy']
Train Simulator: DB ICE 2 EMU Add-On,2013-01-10,['Simulation']
Fieldrunners 2,2013-01-10,"['Action', 'Strategy', 'Casual']"
Sword of the Stars II Soundtrack,2013-01-09,"['Action', 'Strategy']"
Sins of a Solar Empire®: Rebellion - Original Soundtrack,2013-01-11,"['Indie', 'Strategy']"
Gratuitous Space Battles: The Outcasts,2013-01-11,"['Strategy', 'Indie', 'Simulation']"
Rocksmith - The Strokes - Reptilia,2013-01-22,"['Casual', 'Simulation']"
SpellForce 2 - Faith in Destiny Scenario 2: The Golden Fool,2013-01-18,"['RPG', 'Strategy']"
Painkiller Hell &amp; Damnation: Satan Claus DLC,2013-01-17,['Action']
Borderlands 2: Commando Supremacy Pack,2013-01-22,"['Action', 'RPG']"
Borderlands 2: Commando Domination Pack,2013-01-22,"['Action', 'RPG']"
Spectromancer: Gathering of Power,2013-01-21,"['Indie', 'Strategy']"
Borderlands 2: Siren Madness Pack,2013-01-22,"['Action', 'RPG']"
Borderlands 2: Gunzerker Madness Pack,2013-01-22,"['Action', 'RPG']"
Borderlands 2: Gunzerker Domination Pack,2013-01-22,"['Action', 'RPG']"
Borderlands 2: Siren Domination Pack,2013-01-22,"['Action', 'RPG']"
Strike Suit Zero Soundtrack,2013-01-23,"['Action', 'Indie', 'Simulation']"
Strike Suit Zero,2013-01-23,"['Action', 'Indie', 'Simulation']"
The Cave,2013-01-23,['Adventure']
Ace Combat Assault Horizon - Enhanced Edition,2013-01-24,"['Action', 'Simulation']"
Hotline Miami Soundtrack,2013-01-24,"['Action', 'Indie']"
DmC: Devil May Cry,2013-01-24,"['Action', 'Adventure']"
Defense Grid: Containment DLC,2013-01-23,"['Strategy', 'Indie']"
Retrovirus,2013-01-31,"['Action', 'Indie']"
DIVO,2013-02-01,"['Casual', 'Indie']"
3DMark,nan,['Utilities']
Cities in Motion: Design Quirks,2013-02-05,['Simulation']
"Rocksmith - Fall Out Boy - Sugar, We're Goin Down",2013-02-05,"['Casual', 'Simulation']"
Rocksmith - Fall Out boy - I Don't Care,2013-02-05,"['Casual', 'Simulation']"
"Rocksmith - Fall Out Boy - Dance, Dance",2013-02-05,"['Casual', 'Simulation']"
Rocksmith - Fall Out Boy - Thnks fr th Mmrs,2013-02-05,"['Casual', 'Simulation']"
Rocksmith - Fall Out Boy - America's Suitehearts,2013-02-05,"['Casual', 'Simulation']"
Street Fighter X Tekken: SF Booster Pack 5,2013-02-06,['Action']
Street Fighter X Tekken: SF Booster Pack 4,2013-02-06,['Action']
Street Fighter X Tekken: SF Booster Pack 3,2013-02-06,['Action']
Cities XL Platinum,2013-02-06,['Simulation']
Street Fighter X Tekken: SF Booster Pack 7,2013-02-06,['Action']
Street Fighter X Tekken: Additional 12 Characters Pack,2013-02-06,['Action']
SpellForce 2 - Faith in Destiny Scenario 3: The Last Stand,2013-02-15,"['RPG', 'Strategy']"
Super House of Dead Ninjas,2013-02-18,"['Action', 'Indie']"
Omerta - City of Gangsters - The Bulgarian Colossus DLC,2013-02-18,"['Simulation', 'Strategy']"
A Valley Without Wind 2,2013-02-18,"['Action', 'Adventure', 'Indie', 'Strategy']"
Highborn,2013-02-19,"['Casual', 'Indie', 'Strategy']"
Rocksmith - Kansas - Carry On Wayward Son,2013-02-19,"['Casual', 'Simulation']"
Rocksmith - Ram Jam - Black Betty,2013-02-19,"['Casual', 'Simulation']"
Rocksmith - Judas Priest - You've Got Another Thing Comin',2013-02-19,"['Casual', 'Simulation']"
March of the Eagles,2013-02-18,"['Simulation', 'Strategy']"
Assassin's Creed® III Tyranny of King Washington: The Infamy,2013-02-19,['Adventure']
Rocksmith - Incubus - Anna Molly,2013-02-26,"['Casual', 'Simulation']"
Rocksmith - Incubus - Love Hurts,2013-02-26,"['Casual', 'Simulation']"
Rocksmith - Incubus - Wish You Were Here,2013-02-26,"['Casual', 'Simulation']"
Tom Clancy's Ghost Recon Future Soldier® - Khyber Strike,2013-02-26,['Action']
RPG Maker VX Ace - High Fantasy 2 Resource Pack,2013-03-05,"['RPG', 'Web Publishing']"
Rocksmith - Incubus Song Pack,2013-02-26,"['Casual', 'Simulation']"
RPG Maker VX Ace - Futuristic Tiles Resource Pack,2013-03-05,nan
The Sims 3: University Life,2013-03-05,['Simulation']
Rocksmith - Blue Oyster Cult - Burnin' for You,2013-03-05,"['Casual', 'Simulation']"
Rocksmith - Living Colour - Cult of Personality,2013-03-05,"['Casual', 'Simulation']"
Rocksmith - Violent Femmes - Blister in the Sun,2013-03-05,"['Casual', 'Simulation']"
DmC Devil May Cry: Vergil's Downfall,2013-03-05,['Action']
Rocksmith - Blue Oyster Cult Song Pack,2013-03-05,"['Casual', 'Simulation']"
Tomb Raider - The Final Hours Digital Book,2013-03-07,['Action']
Dungeons &amp; Dragons Online® Catacombs Starter Pack,2013-03-14,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Stealth Bastard Deluxe - The Teleporter Chambers,2013-03-14,"['Action', 'Indie']"
Monster Loves You!,2013-03-18,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']"
Incredipede,2013-03-18,"['Adventure', 'Indie', 'Simulation']"
Alien Spidy,2013-03-20,"['Action', 'Adventure', 'Indie']"
Impire: Creatures of the Night,2013-03-19,['Strategy']
Retro/Grade,2013-03-20,"['Action', 'Indie']"
Train Simulator: Western Lines of Scotland Route Add-On,2013-03-21,['Simulation']
Trials Evolution: Gold Edition,2013-03-21,"['Action', 'Racing']"
FLY'N Soundtrack,2013-03-21,['Indie']
AirMech® Prime,2013-03-21,"['Action', 'Free to Play', 'Indie', 'Strategy']"
POSTAL,1997-11-14,"['Action', 'Indie']"
Resident Evil 6 / Biohazard 6,2013-03-22,"['Action', 'Adventure']"
RE6 / BH6: Onslaught Mode,2013-03-22,"['Action', 'Adventure']"
Cut the Rope,2013-03-22,"['Indie', 'Casual']"
Strike Suit Zero - Raptor DLC,2013-03-22,"['Action', 'Indie', 'Simulation']"
Anodyne,2013-03-22,"['Action', 'Adventure', 'Indie']"
Tomb Raider: Agency SPS 12,2013-03-25,"['Action', 'Adventure']"
Tomb Raider: Fisherman,2013-03-26,"['Action', 'Adventure']"
Tomb Raider: Scavenger Bandit,2013-03-26,"['Action', 'Adventure']"
Tomb Raider: Scavenger Scout,2013-03-26,"['Action', 'Adventure']"
Tomb Raider: Pistol Burst,2013-03-26,"['Action', 'Adventure']"
Tomb Raider: Pistol Silencer,2013-03-26,"['Action', 'Adventure']"
Tomb Raider: Hunter Skin,2013-03-26,"['Action', 'Adventure']"
Tomb Raider: Shanty Town,2013-03-26,"['Action', 'Adventure']"
Call of Duty®: Black Ops II - North American Flags of the World Calling Card Pack,2013-04-12,['Action']
Tomb Raider: 1939 Multiplayer Map Pack,2013-04-03,"['Action', 'Adventure']"
Evoland,2013-04-04,"['Adventure', 'Indie', 'RPG']"
Another World – 20th Anniversary Edition,2013-04-04,"['Action', 'Adventure']"
Train Simulator: PRR Alco RS11 Loco Add-On,2013-04-04,['Simulation']
Lords of Football,2013-04-05,"['Indie', 'Simulation', 'Sports', 'Strategy']"
Sang-Froid - Tales of Werewolves,2013-04-05,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
Train Simulator: BR Standard Class 2MT Loco Add-On,2013-04-04,['Simulation']
Demolition Inc - Level &amp; Weapon DLC,2013-04-08,"['Action', 'Strategy', 'Indie', 'Casual']"
Cubemen 2,2013-04-08,"['Indie', 'Strategy']"
Primal Carnage - Experimental Dinosaur Skin Pack 2,2013-04-08,"['Action', 'Strategy', 'Indie']"
Awesomenauts - Demon Skølldir Skin,2013-04-09,"['Action', 'Indie', 'Strategy']"
Call of Duty®: Black Ops II - Jungle Warfare Personalization Pack,2013-04-12,['Action']
Call of Duty®: Black Ops II - Viper Personalization Pack,2013-04-12,['Action']
Call of Duty®: Black Ops II - Bacon Personalization Pack,2013-04-12,['Action']
Train Simulator: Southeastern Class 465 EMU Add-On,2013-04-17,['Simulation']
Call of Duty®: Black Ops II - Benjamins Personalization Pack,2013-04-12,['Action']
Papo &amp; Yo Soundtrack,2013-04-18,"['Adventure', 'Indie']"
Papo &amp; Yo,2013-04-18,"['Adventure', 'Indie']"
Call of Duty®: Black Ops II - Zombies Personalization Pack,2013-04-12,['Action']
Surgeon Simulator,2013-04-19,"['Action', 'Indie', 'Simulation']"
Jagged Alliance: Back in Action DLC: Urban Specialist Kit,2013-04-19,"['RPG', 'Simulation', 'Strategy']"
FINAL FANTASY® XI: Ultimate Collection Seekers Edition,2013-04-19,['Massively Multiplayer']
God Mode,2013-04-19,['Action']
Eador. Masters of the Broken World,2013-04-19,"['Indie', 'Strategy']"
Sacred Citadel: Jungle Hunt,2013-04-22,['Action']
Victoria II: Interwar Engineer Unit,2013-04-22,['Strategy']
Painkiller Hell &amp; Damnation: Full Metal Rocket,2013-04-26,['Action']
Victoria II: Songs of the Civil War,2013-04-22,['Strategy']
Mars: War Logs,2013-04-26,"['Action', 'RPG']"
Poker Night 2,2013-04-26,"['Casual', 'Sports']"
StarDrive,2013-04-26,"['Indie', 'Strategy']"
MINERVA,2013-04-28,"['Action', 'Adventure']"
Sanctum 2,2013-05-15,"['Action', 'Indie', 'Strategy']"
Zack Zero,2013-04-29,"['Action', 'Adventure', 'Indie']"
Driver Fusion Premium,2017-11-23,"['Education', 'Software Training', 'Utilities', 'Web Publishing']"
X3: Reunion Bonus Package,2013-05-07,['Strategy']
Tomb Raider: Demolition Skin,2013-05-07,"['Action', 'Adventure']"
Tomb Raider: Sure-Shot Skin,2013-05-07,"['Action', 'Adventure']"
Tomb Raider: Mountaineer Skin,2013-05-07,"['Action', 'Adventure']"
Awesomenauts - Pirate Leon Skin,2013-05-07,"['Action', 'Indie', 'Strategy']"
Tomb Raider: Shipwrecked Multiplayer Map Pack,2013-05-07,"['Action', 'Adventure']"
Train Simulator: LMS Class 3F ‘Jinty’ Loco Add-On,2013-05-16,['Simulation']
Reus,2013-05-16,"['Indie', 'Simulation', 'Strategy']"
Call of Duty®: Black Ops II - Uprising,2013-05-16,['Action']
Dragon's Lair,1983-06-19,"['Action', 'Adventure', 'Casual']"
Bad Bots,2013-05-17,"['Action', 'Indie']"
Strike Suit Zero Heroes of the Fleet DLC,2013-05-20,"['Action', 'Indie', 'Simulation']"
Primal Carnage - Dinosaur Skin Pack 3,2013-05-20,"['Action', 'Strategy', 'Indie']"
Resident Evil Revelations / Biohazard Revelations,2013-05-20,"['Action', 'Adventure']"
RPG Maker VX Ace - Cinematic Soundtrack Music Pack,2013-06-03,"['Design &amp; Illustration', 'Web Publishing']"
Crusader Kings II: Norse Portraits,2013-05-28,['Strategy']
Crusader Kings II: Hymns to the Old Gods,2013-05-28,['Strategy']
Expansion - Crusader Kings II: The Old Gods,2013-05-28,['Strategy']
Aliens: Colonial Marines Collector's Edition Pack,2013-05-28,['Action']
Aliens: Colonial Marines Limited Edition Pack,2013-05-28,['Action']
Aliens: Colonial Marines Sawed-off Double Barrel Shotgun,2013-05-28,['Action']
Rocksmith - Rick Springfield - Jessie’s Girl,2013-05-28,"['Casual', 'Simulation']"
Aliens: Colonial Marines SHARP Sticks,2013-05-28,['Action']
RPG Maker VX Ace - The Nothing Battles Music Pack,2013-06-03,"['Design &amp; Illustration', 'Web Publishing']"
Remember Me,2013-06-03,"['Action', 'Adventure']"
Tomb Raider: Tomb of the Lost Adventurer,2013-06-04,"['Action', 'Adventure']"
Tomb Raider: Scavenger Executioner,2013-06-04,"['Action', 'Adventure']"
Resident Evil: Revelations Resistance Set,2013-06-04,"['Action', 'Adventure']"
Resident Evil: Revelations Enhancement Set,2013-06-04,"['Action', 'Adventure']"
Dollar Dash - Robber's Toolkit DLC,2013-06-04,"['Action', 'Indie']"
Sins of a Solar Empire®: Rebellion - Forbidden Worlds™ DLC,2013-06-05,"['Indie', 'Strategy']"
RPG Maker VX Ace - Modern Day Tiles Resource Pack,2013-06-03,"['Design &amp; Illustration', 'Web Publishing']"
Cranky Cat,2013-06-05,['Casual']
Tryst: Survival DLC,2013-06-05,"['Action', 'Strategy', 'Indie']"
Train Simulator: BNSF Locomotive Pack Add-On,2013-06-07,['Simulation']
Agricultural Simulator 2013 - Steam Edition,2013-06-07,"['Casual', 'Simulation']"
Penny Arcade's On the Rain-Slick Precipice of Darkness 4,2013-06-07,"['Indie', 'RPG']"
7 Grand Steps: What Ancients Begat,2013-06-07,"['Casual', 'Indie', 'Simulation', 'Strategy']"
Prime World: Defenders,2013-06-05,"['Casual', 'Indie', 'RPG', 'Strategy']"
COH 2 - Soviet Skin: (H) Winter Whitewash Voronezh Front,2013-06-24,['Strategy']
COH 2 - Soviet Skin: (L) Winter Whitewash Voronezh Front,2013-06-24,['Strategy']
COH 2 - German Skin: (M) Winter Ambush Pattern,2013-06-24,['Strategy']
COH 2 - German Skin: (L) Winter Ambush Pattern,2013-06-24,['Strategy']
COH 2 - German Skin: (L) Three Color Ambush Pattern,2013-06-24,['Strategy']
Train Simulator: BR Class 50 Loco Add-On,2013-06-13,['Simulation']
Awesomenauts - Teddy Ayla Skin,2013-06-13,"['Action', 'Indie', 'Strategy']"
AI War: Vengeance Of The Machine,2013-06-17,"['Indie', 'Strategy']"
Train Simulator: NKP S-2 Class 'Berkshire' Loco Add-On,2013-06-13,['Simulation']
Aliens: Colonial Marines - Movie Map Pack,2013-06-11,['Action']
Train Simulator: SP&amp;S E-1 Class 'Northern' Loco Add-On,2013-06-13,['Simulation']
Awesomenauts - Shaolin Ayla Skin,2013-06-13,"['Action', 'Indie', 'Strategy']"
Knights of Pen and Paper +1 Edition,2013-06-18,"['Indie', 'RPG']"
Dungeons &amp; Dragons: Chronicles of Mystara,2013-06-18,"['Action', 'Adventure', 'RPG']"
Worms Revolution - Customization Pack,2013-06-18,['Strategy']
Magic 2014 “Mind Maze” Foil Conversion,2013-06-26,['Strategy']
Crusader Kings II: Dynasty Shield III,2013-06-25,['Strategy']
Crusader Kings II: Celtic Portraits,2013-06-25,['Strategy']
Bioshock Infinite: Columbia's Finest,2013-06-25,['Action']
Crusader Kings II: Celtic Unit Pack,2013-06-25,['Strategy']
Borderlands 2: Tiny Tina's Assault on Dragon Keep,2013-06-25,"['Action', 'RPG']"
Sniper Ghost Warrior 2: World Hunter Pack,2013-06-25,['Action']
The Sims 3: Island Paradise,2013-06-25,['Simulation']
Sanctum 2: Road to Elysion,2013-06-26,"['Action', 'Casual', 'Indie', 'Strategy']"
Company of Heroes 2,2013-06-25,['Strategy']
Sealed Play Deck - Slot 05,2013-06-26,['Strategy']
Sealed Play Deck - Slot 04,2013-06-26,['Strategy']
Magic 2014 “Masks of the Dimir” Deck Key,2013-06-26,['Strategy']
Alien Spidy: Between a Rock and a Hard Place,2013-07-25,"['Action', 'Adventure', 'Indie']"
Borderlands 2: Mechromancer Steampunk Slayer Pack,2013-07-02,"['Action', 'RPG']"
Borderlands 2: Gunzerker Dapper Gent Pack,2013-07-02,"['Action', 'RPG']"
Borderlands 2: Psycho Madness Pack,2013-07-02,"['Action', 'RPG']"
Borderlands 2: Psycho Domination Pack,2013-07-02,"['Action', 'RPG']"
Magic 2014 “Enter the Dracomancer” Deck Key,2013-06-26,['Strategy']
Borderlands 2: Psycho Dark Psyche Pack,2013-07-02,"['Action', 'RPG']"
Magic 2014 “Firewave” Deck Key,2013-06-26,['Strategy']
Borderlands 2: Commando Haggard Hunter Pack,2013-07-02,"['Action', 'RPG']"
Borderlands 2: Assassin Stinging Blade Pack,2013-07-02,"['Action', 'RPG']"
Borderlands 2: Psycho Supremacy Pack,2013-07-02,"['Action', 'RPG']"
Mortal Kombat Komplete Edition,2013-07-03,['Action']
Borderlands 2: Siren Glitter and Gore Pack,2013-07-02,"['Action', 'RPG']"
Ragnarok Online 2 - Elemento School Graduation Pack,2013-07-02,"['Free to Play', 'Massively Multiplayer', 'RPG']"
Ragnarok Online 2 - Trendsetter Fashionista's Pack,2013-07-02,"['Free to Play', 'Massively Multiplayer', 'RPG']"
Bleed,2013-07-03,"['Action', 'Indie']"
The Walking Dead: 400 Days,2013-07-03,['Adventure']
Killing Floor - Mrs Foster Pack,2013-07-03,['Action']
Killing Floor - Golden Weapon Pack 2,2013-07-03,['Action']
Killing Floor - Community Weapon Pack 2,2013-07-03,['Action']
Soldier Front 2,2013-07-03,"['Action', 'Free to Play']"
DARK,2013-07-03,"['Action', 'RPG']"
TrackMania² Valley,2013-07-04,"['Racing', 'Sports']"
Shadow Warrior Classic Redux,1997-05-13,['Action']
FINAL FANTASY VII,2013-07-04,['RPG']
Lords of Football: Super Training,2013-07-08,"['Indie', 'Simulation', 'Sports', 'Strategy']"
Train Simulator: SD40-2 Independence Loco Add-On,2013-07-04,['Simulation']
nan,nan,nan
GRID 2 - Drift Pack,2013-07-09,"['Racing', 'Sports']"
Farming Simulator 2013: Ursus,2013-07-09,"['Casual', 'Simulation']"
Sid Meier's Civilization V: Brave New World,2013-07-08,['Strategy']
Runner2 - Good Friends Character Pack,2013-07-11,"['Action', 'Indie']"
Toki Tori 2+,2013-07-11,"['Adventure', 'Casual', 'Indie']"
BIT.TRIP FATE,2013-07-11,"['Action', 'Indie']"
R.I.P.D.: The Game,2013-07-16,['Action']
BIT.TRIP.FATE Soundtrack,2013-07-11,"['Action', 'Indie']"
The Raven - Legacy of a Master Thief,2013-07-23,['Adventure']
Ittle Dew,2013-07-23,"['Adventure', 'Indie']"
Aliens: Colonial Marines: Stasis Interrupted,2013-07-23,['Action']
CoH 2 - Soviet Commander: Terror Tactics,2013-07-23,['Strategy']
CoH 2 - German Commander: Storm Doctrine,2013-07-23,['Strategy']
GRID 2 - Peak Performance Pack,2013-07-23,"['Racing', 'Sports']"
Soldier Front 2: Shoot Em Up Package,2013-07-23,"['Action', 'Free to Play']"
Shadowrun Returns,2013-07-25,"['Adventure', 'Indie', 'RPG', 'Strategy']"
Citadels,2013-07-25,"['Action', 'Strategy']"
Awesomenauts - Gnabot Skin,2013-07-29,"['Action', 'Indie', 'Strategy']"
Alien Spidy: Easy Breezy DLC,2013-07-25,"['Action', 'Adventure', 'Indie']"
CastleStorm,2013-07-29,"['Action', 'Indie', 'Strategy']"
Hearts of Iron III: Axis Minors Vehicle Pack,2013-07-30,['Strategy']
Realms of Arkania: Blade of Destiny,2013-07-29,"['Adventure', 'Indie', 'RPG']"
Skulls of the Shogun,2013-07-29,"['Indie', 'Strategy']"
Hearts of Iron III: Italian Vehicle Pack,2013-07-30,['Strategy']
BioShock Infinite: Clash in the Clouds,2013-07-30,['Action']
Cities in Motion 2:  Trekking Trolleys,2013-07-30,['Simulation']
Castlevania: Lords of Shadow – Ultimate Edition,2013-08-27,"['Action', 'Adventure']"
Cities in Motion 2: Wending Waterbuses,2013-07-30,['Simulation']
Star Conflict: Pirate Pack - Dead Man's Chest,2013-07-31,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']"
Star Conflict: Pirate Pack - Jolly Roger,2013-07-31,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']"
Star Conflict: Pirate Pack - Corsair,2013-07-31,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']"
CastleStorm - From Outcast to Savior,2013-07-31,"['Action', 'Indie', 'Strategy']"
Rise of the Triad,2013-07-31,['Action']
Lords of Football: Eastern Europe,2013-08-01,"['Indie', 'Simulation', 'Sports', 'Strategy']"
"Wargame: AirLand Battle - ""Vox Populi"" (Free DLC)",2013-07-31,['Strategy']
Train Simulator: Great Northern F7 ‘Empire Builder’ Loco Add-On,2013-08-01,['Simulation']
Cloudberry Kingdom™,2013-08-02,['Indie']
Call of Duty®: Black Ops II - Vengeance,2013-08-01,['Action']
nan,nan,nan
"Crazy Machines 2: Invaders From Space, 2nd Wave DLC",2013-08-01,"['Casual', 'Strategy']"
DCS: Black Shark 2,2011-11-02,['Simulation']
DCS: A-10C Warthog - DLC,2010-09-22,['Simulation']
DCS: P-51D Mustang,2012-04-29,['Simulation']
DCS: Combined Arms 1.5,2012-05-31,"['Simulation', 'Strategy']"
Su-25 for DCS World,2013-07-26,['Simulation']
The Dream Machine: Chapter 4,2013-08-05,"['Adventure', 'Casual', 'Indie']"
The Dream Machine: Chapter 4,2013-08-05,"['Adventure', 'Casual', 'Indie']"
Divinity: Dragon Commander,2013-08-06,"['Action', 'RPG', 'Strategy']"
Saints Row IV: Inauguration Station,2013-08-06,"['Action', 'Adventure']"
COH 2 - German Skin: (H) Four Color Disruptive Pattern,2013-08-06,['Strategy']
COH 2 - German Skin: (L) Four Color Disruptive Pattern,2013-08-06,['Strategy']
COH 2 - German Skin: (M) Four Color Disruptive Pattern,2013-08-06,['Strategy']
Super House of Dead Ninjas: True Ninja Pack,2013-08-06,"['Action', 'Indie']"
Beatbuddy: Tale of the Guardians,2013-08-06,"['Action', 'Adventure', 'Casual', 'Indie']"
Inquisitor,2012-09-05,"['Indie', 'RPG']"
Europa Universalis IV: Call-to-Arms Pack,2013-08-13,"['Simulation', 'Strategy']"
Europa Universalis IV: Pre-Order Pack,2013-08-13,"['Simulation', 'Strategy']"
Europa Universalis IV: Digital Extreme Edition Upgrade Pack,2013-08-13,"['Simulation', 'Strategy']"
DLC - Crusader Kings II: Europa Universalis IV Converter,2013-08-13,"['RPG', 'Simulation', 'Strategy']"
CoH 2 - German Commander: Lightning War Doctrine,2013-08-13,['Strategy']
Dishonored: The Brigmore Witches,2013-08-13,"['Action', 'Adventure']"
DuckTales: Remastered,2013-08-13,"['Action', 'Adventure', 'Casual']"
DLC - Crusader Kings II: Customization Pack,2013-08-14,"['RPG', 'Simulation', 'Strategy']"
Hacker Evolution Duality: Hardcore Package Part 1 DLC,2013-08-14,['Indie']
